"Name","Source","AC","HP","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","CR"
"Aarakocra","MM","12","13 (3d8)","10","14","10","11","12","11","1/4 (50 XP)"
"Aarakocra Simulacrum","SKT","12","6 (3d4)","10","14","10","11","12","11","1/8 (25 XP)"
"Aarakocra Spelljammer","LoX","12 (15 with mage armor)","40 (9d8)","9","14","11","17","12","11","6 (2,300 XP)"
"Aartuk Elder","BAM","16 (natural armor)","75 (10d10 + 20)","18","10","15","12","14","12","3 (700 XP)"
"Aartuk Starhorror","BAM","14 (natural armor)","52 (8d8 + 16)","12","10","14","13","16","10","2 (450 XP)"
"Aartuk Weedling","BAM","15 (natural armor)","38 (7d8 + 7)","14","12","13","10","13","10","2 (450 XP)"
"Abhorrent Overlord","MOT","16 (natural armor)","136 (16d10 + 48)","20","18","16","15","14","16","9 (5,000 XP)"
"Abjurer Wizard","MPMM","12 (15 with mage armor)","104 (16d8 + 32)","9","14","14","18","12","11","9 (5,000 XP)"
"Aboleth","MM","17 (natural armor)","135 (18d10 + 36)","21","9","15","18","15","18","10 (5,900 XP)"
"Abominable Yeti","MM","15 (natural armor)","137 (11d12 + 66)","24","10","22","9","13","9","9 (5,000 XP)"
"Abyssal Chicken","BGDIA","13 (natural armor)","10 (3d4 + 3)","6","14","13","4","9","5","1/4 (50 XP)"
"Abyssal Wretch","MTF","11","18 (4d8)","9","12","11","5","8","5","1/4 (50 XP)"
"Acolyte","MM","10","9 (2d8)","10","10","10","10","14","11","1/4 (50 XP)"
"Adult Amethyst Dragon","FTD","19 (natural armor)","229 (17d12 + 119)","25","14","25","20","17","21","16 (15,000 XP) or 17 (18,000 XP) when encountered in lair"
"Adult Black Dragon","MM","19 (natural armor)","195 (17d12 + 85)","23","14","21","14","13","17","14 (11,500 XP)"
"Adult Blue Dracolich","MM","19 (natural armor)","225 (18d12 + 108)","25","10","23","16","15","19","17 (18,000 XP)"
"Adult Blue Dragon","MM","19 (natural armor)","225 (18d12 + 108)","25","10","23","16","15","19","16 (15,000 XP)"
"Adult Brass Dragon","MM","18 (natural armor)","172 (15d12 + 75)","23","10","21","14","13","17","13 (10,000 XP)"
"Adult Bronze Dragon","MM","19 (natural armor)","212 (17d12 + 102)","25","10","23","16","15","19","15 (13,000 XP)"
"Adult Copper Dragon","MM","18 (natural armor)","184 (16d12 + 80)","23","12","21","18","15","17","14 (11,500 XP)"
"Adult Crystal Dragon","FTD","16 (natural armor)","172 (15d12 + 75)","21","12","21","18","15","19","12 (8,400 XP) or 13 (10,000 XP) when encountered in lair"
"Adult Deep Dragon","FTD","17 (natural armor)","147 (14d12 + 56)","20","14","18","16","16","18","11 (7,200 XP) or 12 (8,400 XP) when encountered in lair"
"Adult Emerald Dragon","FTD","18 (natural armor)","207 (18d12 + 90)","23","12","21","18","16","18","14 (11,500 XP) or 15 (13,000 XP) when encountered in lair"
"Adult Gold Dragon","MM","19 (natural armor)","256 (19d12 + 133)","27","14","25","16","15","24","17 (18,000 XP)"
"Adult Green Dragon","MM","19 (natural armor)","207 (18d12 + 90)","23","12","21","18","15","17","15 (13,000 XP)"
"Adult Kruthik","MPMM","18 (natural armor)","39 (6d8 + 12)","15","16","15","7","12","8","2 (450 XP)"
"Adult Lunar Dragon","BAM","17 (natural armor)","172 (15d12 + 75)","23","12","20","10","13","15","13 (10,000 XP)"
